INCIDENT NUMBER,SHOOTING TYPE,INCIDENT DATE,INCIDENT YEAR,INCIDENT LOCATION,CITY,STATE,ZIP,REPORTING DISTRICT,GEO LOCATION,HANDLING UNIT ID,HANDLING UNIT NAME,HIT SHOOTING,NON HIT SHOOTING,ANIMAL SHOOTING,OTHER SHOOTING,UNINTENTIONAL DISCHARGE,WARNING SHOT,APPROX_LATITUDE,APPROX_LONGITUDE
1000200,5,03/05/2011 10:50:00 AM,2011,2000 COTTLE DRIVE,SAN JOSE,CA,95125,1199,"2000 COTTLE DRIVE
SAN JOSE, CA 95125
(37.291323, -121.896168)",LCS,LANCASTER STN,,,,,1,,37.291323,-121.896168
1000382,1,02/08/2012 08:14:00 AM,2012,1400 NORTH PEARL STREET,COMPTON,CA,90221,2824,"1400 NORTH PEARL STREET
COMPTON, CA 90221
(33.905226, -118.214631)",MCB,MAJOR CRIMES BUREAU,1,,,,,,33.905226,-118.214631
1000107,3,11/06/2012 09:55:00 PM,2012,2700 E. DEL AMO BOULEVARD,COMPTON,CA,90221,1692,"2700 E. DEL AMO BOULEVARD
COMPTON, CA 90221
(33.846581, -118.214995)",CSN,CARSON STATION,,,1,,,,33.846581,-118.214995
1000424,1,11/16/2012 09:30:00 PM,2012,81ST AND PARMALEE AVENUE,LOS ANGELES,CA,90001,2174,"81ST AND PARMALEE AVENUE
LOS ANGELES, CA 90001
(33.96580897884491831496, -118.24990302594981168384)",OSS,OPERATION SAFE STREETS BUREAU,1,,,,,,33.965808978844918,-118.249903025949812
1000400,1,05/12/2012 01:25:00 PM,2012,HUDSON AVENUE AND STAFFORD AVENUE,CITY OF INDUSTRY,CA,91744,1462,"HUDSON AVENUE AND STAFFORD AVENUE
CITY OF INDUSTRY, CA 91744
(34.02503598860171436153, -117.95933102562561901379)",IDT,INDUSTRY STN,1,,,,,,34.025035988601714,-117.959331025625619
1000373,1,01/04/2012 03:28:00 PM,2012,9300 E. VALLEY BLVD,ROSEMEAD,CA,91770,0530,"9300 E. VALLEY BLVD
ROSEMEAD, CA 91770
(34.081073, -118.066791)",TEM,TEMPLE CITY STN,1,,,,,,34.081073,-118.066791
1000388,1,03/07/2012 02:49:00 PM,2012,10300 LOU DILLON AVENUE,LOS ANGELES,CA,90059,2199,"10300 LOU DILLON AVENUE
LOS ANGELES, CA 90059
(33.943123, -118.234839)",OSS,OPERATION SAFE STREETS BUREAU,1,,,,,,33.943123,-118.234839
1000344,1,03/01/2011 03:29:00 PM,2011,500 EAST AVENUE P-14,PALMDALE,CA,93550,2614,"500 EAST AVENUE P-14
PALMDALE, CA 93550
(34.601786, -118.120609)",PLM,PALMDALE STN,1,,,,,,34.601786,-118.120609
1001385,5,01/23/2018 07:05:00 AM,2018,MIKIUNI AVENUE / NORDHOFF WAY,NORTHRIDGE,CA,91324,3609,"MIKIUNI AVENUE / NORDHOFF WAY
NORTHRIDGE, CA 91324
(34.231875, -118.571005)",NAR,NARCOTICS BUREAU,,,,,1,,34.231875,-118.571005
1000043,3,10/24/2010 10:35:00 AM,2010,1000 N. GAGE STREET,LOS ANGELES,CA,90022,0272,"1000 N. GAGE STREET
LOS ANGELES, CA 90022
(34.04792, -118.184873)",ELA,EAST LA STN,,,1,,,,34.04792,-118.184873
1000058,3,06/13/2011 09:50:00 AM,2011,1400 W. 154TH STREET,COMPTON,CA,90220,2832,"1400 W. 154TH STREET
COMPTON, CA 90220
(33.892868, -118.246119)",COM,COMPTON STN,,,1,,,,33.892868,-118.246119
1000148,3,09/02/2014 04:50:00 PM,2014,1000 GALEMONT AVENUE,HACIENDA HEIGHTS,CA,91745,1478,"1000 GALEMONT AVENUE
HACIENDA HEIGHTS, CA 91745
(34.012168, -117.964361)",IDT,INDUSTRY STN,,,1,,,,34.012168,-117.964361
1000513,2,02/05/2015 05:29:00 PM,2015,1600 E. GLADWICK STREET,CARSON,CA,90746,1616,"1600 E. GLADWICK STREET
CARSON, CA 90746
(33.85268, -118.2417)",CSN,CARSON STN,,1,,,,,33.85268,-118.2417
1000813,3,08/22/2016 06:38:00 PM,2016,21900 SOUTH GRACE AVENUE,CARSON,CA,90745,1618,"21900 SOUTH GRACE AVENUE
CARSON, CA 90745
(33.828782, -118.267943)",CSN,CARSON STN,,,1,,,,33.828782,-118.267943
1000172,3,12/01/2010 11:30:00 AM,2010,200 E. 54TH STREET,LOS ANGELES,CA,90011,3621,"200 E. 54TH STREET
LOS ANGELES, CA 90011
(33.993341, -118.271393)",CEN,CENTURY STN,,,1,,,,33.993341,-118.271393
1000353,1,05/25/2011 08:33:00 PM,2011,11600 SOUTH CENTRAL AVENUE,LOS ANGELES,CA,90059,2131,"11600 SOUTH CENTRAL AVENUE
LOS ANGELES, CA 90059
(33.929468, -118.25428)",CEN,CENTURY STN,1,,,,,,33.929468,-118.25428
1001328,5,11/25/2017 05:30:00 PM,2017,3400 WEST 11TH PLACE,INGLEWOOD,CA,90303,,"3400 WEST 11TH PLACE
INGLEWOOD, CA 90303
(33.945514, -118.326314)",MCJ,MEN'S CENTRAL JAIL,,,,,1,,33.945514,-118.326314
1000245,5,04/26/2014 12:06:00 PM,2014,12800 DAHLIA AVENUE,DOWNEY,CA,90242,8619,"12800 DAHLIA AVENUE
DOWNEY, CA 90242
(33.92382599039766107095, -118.15885171961882184996)",CSB,COUNTY SERVICES BUREAU,,,,,1,,33.923825990397661,-118.158851719618822
1000036,3,08/29/2010 11:00:00 AM,2010,2200 WALTER STREET,HUNTINGTON PARK,CA,90255,2178,"2200 WALTER STREET
HUNTINGTON PARK, CA 90255
(33.969589, -118.231731)",CEN,CENTURY STN,,,1,,,,33.969589,-118.231731
1000218,6,12/05/2011 09:00:00 PM,2011,5800 VESPER AVENUE,VAN NUYS,CA,91411,0299,"5800 VESPER AVENUE
VAN NUYS, CA 91411
(34.175742, -118.451006)",ELA,EAST LA STN,,,,,,1,34.175742,-118.451006
1000576,5,09/11/2015 10:45:00 AM,2015,2000 E. IMPERIAL HIGHWAY,LOS ANGELES,CA,90059,6014,"2000 E. IMPERIAL HIGHWAY
LOS ANGELES, CA 90059
(33.929132, -118.236345)",TBS,TRANSIT BUREAU SOUTH,,,,,1,,33.929132,-118.236345
1000533,1,07/10/2015 11:32:00 AM,2015,3300 YORKSHIRE ROAD,PASADENA,CA,91107,0590,"3300 YORKSHIRE ROAD
PASADENA, CA 91107
(34.138695, -118.082945)",TEM,TEMPLE CITY STN,1,,,,,,34.138695,-118.082945
1000302,2,06/10/2010 09:28:00 PM,2010,2800 SANTA ROSA AVENUE,ALTADENA,CA,91001,0773,"2800 SANTA ROSA AVENUE
ALTADENA, CA 91001
(34.193135, -118.134092)",ALD,ALTADENA STN,,1,,,,,34.193135,-118.134092
1000277,5,05/23/2015 07:30:00 PM,2015,5400 OLANDA STREET,LYNWOOD,CA,90262,2118,"5400 OLANDA STREET
LYNWOOD, CA 90262
(33.907568, -118.186475)",CEN,CENTURY STN,,,,,1,,33.907568,-118.186475
1000082,3,05/04/2012 03:55:00 PM,2012,9800 KALE STREET,SOUTH EL MONTE,CA,91733,0560,"9800 KALE STREET
SOUTH EL MONTE, CA 91733
(34.056389, -118.055689)",TEM,TEMPLE CITY STN,,,1,,,,34.056389,-118.055689
1000236,5,10/31/2013 11:30:00 PM,2013,ATLANTIC AVENUE AND PIXLEY STREET,COMPTON,CA,90221,1399,"ATLANTIC AVENUE AND PIXLEY STREET
COMPTON, CA 90221
(33.90191099409165123733, -118.19387900646786123992)",LKD,LAKEWOOD STN,,,,,1,,33.901910994091651,-118.193879006467861
1000269,5,12/06/2014 03:29:00 PM,2014,400 N. CRANE AVENUE,COMPTON,CA,606031,2851,"400 N. CRANE AVENUE
COMPTON, CA 606031
(33.898721, -118.20867)",COM,COMPTON STN,,,,,1,,33.898721,-118.20867
1000361,1,09/09/2011 09:19:00 PM,2011,2400 CYPRESS STREET,COMPTON,CA,90220,2830,"2400 CYPRESS STREET
COMPTON, CA 90220
(33.887564, -118.254348)",COM,COMPTON STN,1,,,,,,33.887564,-118.254348
1000080,3,05/02/2012 06:45:00 PM,2012,HUBBARD STREET AND AMALIA AVENUE,EAST LOS ANGELES,CA,90022,0286,"HUBBARD STREET AND AMALIA AVENUE
EAST LOS ANGELES, CA 90022
(34.02238298257104505269, -118.15553901756885859908)",ELA,EAST LA STN,,,1,,,,34.022382982571045,-118.155539017568859
1000416,2,08/31/2012 11:33:00 PM,2012,800 WEST MAPLE STREET,COMPTON,CA,90220,2811,"800 WEST MAPLE STREET
COMPTON, CA 90220
(33.901986, -118.238676)",COM,COMPTON STN,,1,,,,,33.901986,-118.238676
1000472,2,12/04/2013 07:35:00 AM,2013,1700 NORTH GRAMERCY PLACE,LOS ANGELES,CA,90028,0973,"1700 NORTH GRAMERCY PLACE
LOS ANGELES, CA 90028
(34.101714, -118.312239)",MCB,MAJOR CRIMES BUREAU,,1,,,,,34.101714,-118.312239
1000439,1,04/29/2013 10:20:00 AM,2013,500 FAIR VIEW AVENUE,LOS ANGELES,CA,90022,0286,"500 FAIR VIEW AVENUE
LOS ANGELES, CA 90022
(34.053313, -118.220551)",ELA,EAST LA STN,1,,,,,,34.053313,-118.220551
1000197,5,01/07/2011 08:25:00 PM,2011,1300 W. IMPERIAL HIGHWAY,LOS ANGELES,CA,90044,0378,"1300 W. IMPERIAL HIGHWAY
LOS ANGELES, CA 90044
(33.930905, -118.297864)",OSS,OPERATION SAFE STREETS BUREAU,,,,,1,,33.930905,-118.297864
1000680,4,02/10/2016 09:50:00 PM,2016,12100 LOS COYOTES AVENUE,LA MIRADA,CA,90638,0460,"12100 LOS COYOTES AVENUE
LA MIRADA, CA 90638
(33.92104, -118.008134)",NWK,NORWALK REGIONAL STN,,,,1,,,33.92104,-118.008134
1000654,1,10/19/2015 11:48:00 PM,2015,400 W. 111TH ST.,LOS ANGELES,CA,90061,0372,"400 W. 111TH ST.
LOS ANGELES, CA 90061
(33.934825, -118.283113)",SLA,SOUTH LOS ANGELES STATION,1,,,,,,33.934825,-118.283113
1000433,2,03/14/2013 12:10:00 PM,2013,1100 ORANGE GROVE BLVD,PASADENA,CA,91105,3199,"1100 ORANGE GROVE BLVD
PASADENA, CA 91105
(34.126946, -118.158199)",HOM,HOMICIDE BUREAU,,1,,,,,34.126946,-118.158199
1000526,1,06/04/2015 05:54:00 PM,2015,ALOSTA AVENUE AND CITRUS AVENUE,ASUZA,CA,91702,0899,"ALOSTA AVENUE AND CITRUS AVENUE
ASUZA, CA 91702
(34.12873299795924419958, -117.89008502427078765451)",SDM,SAN DIMAS STN,1,,,,,,34.128732997959244,-117.890085024270788
